Timestamp,AudibleAlarm:SR1_RF_Trip:ACK,AudibleAlarm:SR1_RF_Trip:Disable,AudibleAlarm:SR1_RF_Trip:SEVR,AudibleAlarm:SR1_RF_Trip:TO:Disable
2022/10/18 10:48:10.160,N/A,N/A,N/A,1
2022/11/04 09:17:47.757,N/A,0,N/A,N/A
2022/11/29 06:55:02.985,0,N/A,N/A,N/A
2022/11/29 07:07:48.697,N/A,N/A,0,N/A
2022/12/05 19:22:29.151,0,N/A,N/A,N/A
2022/12/05 19:23:12.594,N/A,N/A,0,N/A
2022/12/06 18:26:39.453,N/A,N/A,2,N/A
2022/12/06 18:27:05.402,0,N/A,N/A,N/A
2022/12/06 18:32:07.045,N/A,N/A,0,N/A
2022/12/07 02:56:26.542,N/A,N/A,2,N/A
2022/12/07 02:56:42.855,0,N/A,N/A,N/A
2022/12/07 03:05:45.127,N/A,N/A,0,N/A
2022/12/08 05:14:57.329,2,N/A,N/A,N/A
2022/12/08 05:14:57.425,N/A,N/A,2,N/A
2022/12/08 05:15:26.531,0,N/A,N/A,N/A
2022/12/08 05:21:12.885,N/A,N/A,0,N/A
2022/12/08 06:57:27.983,N/A,N/A,2,N/A
2022/12/08 06:57:53.884,0,N/A,N/A,N/A
2022/12/08 07:37:11.566,N/A,N/A,0,N/A
2022/12/08 13:45:36.000,0,0,0,1
