Timestamp,ICT1400-01:PCT1402-01:InjEff:fbk,ICT1400-02:PCT1402-01:InjEff:fbk,PCT1304-01:ICT1400-01:InjEff:fbk,PCT1304-01:ICT1400-02:InjEff:fbk,PCT2403-01:BRInjEff:fbk,PS2400-02:0:adc,PS2400-02:0:dac,PS2400-02:0:dac:fbk,PS2401-06:0:adc,PS2401-06:0:dac,PS2401-06:0:dac:fbk,PS2404-06:0:dac:fbk,SEP1401-01:adc,SEP1401-01:dac
2022/10/03 07:59:56.799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,749200
2022/10/14 10:29:21.927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,749200,N/A,N/A
2022/12/07 08:05:58.939,N/A,N/A,N/A,N/A,N/A,N/A,806401,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 08:05:59.395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,686400,N/A,N/A,N/A,N/A
2022/12/07 08:06:03.383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,686400,N/A,N/A,N/A
2022/12/07 08:06:03.510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,806401,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:46:02.415,N/A,N/A,65.7075132677137,N/A,63.360748142126546,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:46:02.416,96.42846760000539,97.10815906149018,N/A,65.24760509774022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:46:53.641,N/A,N/A,N/A,N/A,N/A,1753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:46:55.782,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7330,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:46:59.462,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7804,N/A
2022/12/07 13:47:49.851,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7292,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:47:55.862,N/A,N/A,N/A,N/A,N/A,1748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:47:59.134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7783,N/A
2022/12/07 13:48:39.414,97.41994120946362,N/A,64.94693723661034,N/A,63.271268073253026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:48:39.415,N/A,98.94789653170272,N/A,63.94402538206664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:48:49.412,N/A,N/A,N/A,N/A,N/A,1762,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:48:52.094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7372,N/A,N/A,N/A,N/A,N/A
